time_sec,lap,driver,detection_point,gap_to_ahead,status
380.9483333,4,Ocon,DP1 (3510m),2.601,DENIED
382.4483333,4,Hadjar,DP1 (3510m),1.307,DENIED
382.615,4,Stroll,DP1 (3510m),0.08,ELIGIBLE
383.2816667,4,Gasly,DP1 (3510m),0.649,ELIGIBLE
383.4483333,4,Alonso,DP1 (3510m),0.106,ELIGIBLE
384.1816667,4,Lawson,DP1 (3510m),0.632,ELIGIBLE
384.3816667,4,Sainz,DP1 (3510m),0.163,ELIGIBLE
386.2483333,4,Yuki,DP1 (3510m),1.519,DENIED
386.415,4,Bortoleto,DP1 (3510m),0.141,ELIGIBLE
386.8483333,4,Bearman,DP1 (3510m),0.433,ELIGIBLE
389.315,4,Colapinto,DP1 (3510m),2.09,DENIED
390.1816667,4,Antonelli,DP2 (4550m),11.778,DENIED
393.1816667,4,Albon,DP2 (4550m),2.45,DENIED
398.3816667,4,Hulkenberg,DP2 (4550m),4.369,DENIED
401.5816667,4,Ocon,DP2 (4550m),2.581,DENIED
402.015,4,Alonso,DP2 (4550m),0.338,ELIGIBLE
402.1483333,4,Stroll,DP2 (4550m),0.135,ELIGIBLE
403.1436667,4,Hadjar,DP2 (4550m),0.85,ELIGIBLE
403.5103333,5,Oscar Piastri,DP1 (3510m),0,DENIED
403.9103333,4,Lawson,DP2 (4550m),0.67,ELIGIBLE
404.1436667,4,Gasly,DP2 (4550m),0.184,ELIGIBLE
405.2436667,4,Sainz,DP2 (4550m),0.855,ELIGIBLE
405.9103333,4,Bortoleto,DP2 (4550m),0.517,ELIGIBLE
406.8436667,5,Lando Norris,DP1 (3510m),3.276,DENIED
407.177,4,Yuki,DP2 (4550m),0.965,ELIGIBLE
407.5436667,4,Bearman,DP2 (4550m),0.284,ELIGIBLE
410.6436667,4,Colapinto,DP2 (4550m),2.569,DENIED
420.8436667,5,Oscar Piastri,DP2 (4550m),0,DENIED
429.2103333,5,Lando Norris,DP2 (4550m),8.381,DENIED
430.677,5,Verstappen,DP1 (3510m),18.364,DENIED
436.4733333,5,George Russell,DP1 (3510m),6.13,DENIED
445.24,5,Charles Leclerc,DP1 (3510m),8.38,DENIED
446.6733333,5,Verstappen,DP2 (4550m),17.22,DENIED
454.54,5,George Russell,DP2 (4550m),8.536,DENIED
457.44,5,Lewis Hamilton,DP1 (3510m),11.89,DENIED
462.9363333,5,Charles Leclerc,DP2 (4550m),8.561,DENIED
469.903,5,Antonelli,DP1 (3510m),12.66,DENIED
470.003,5,Albon,DP1 (3510m),0.036,ELIGIBLE
474.4363333,5,Lewis Hamilton,DP2 (4550m),11.703,DENIED
478.5696667,5,Hulkenberg,DP1 (3510m),8.665,DENIED
478.8363333,5,Hadjar,DP1 (3510m),0.22,ELIGIBLE
479.8696667,5,Stroll,DP1 (3510m),1.109,DENIED
480.3696667,5,Alonso,DP1 (3510m),0.453,ELIGIBLE
480.9696667,5,Ocon,DP1 (3510m),0.463,ELIGIBLE
481.203,5,Lawson,DP1 (3510m),0.226,ELIGIBLE
481.2363333,5,Sainz,DP1 (3510m),0.245,ELIGIBLE
483.203,5,Gasly,DP1 (3510m),2.156,DENIED
483.4363333,5,Yuki,DP1 (3510m),0.15,ELIGIBLE
483.5696667,5,Bortoleto,DP1 (3510m),0.091,ELIGIBLE
484.103,5,Bearman,DP1 (3510m),0.546,ELIGIBLE
485.503,5,Antonelli,DP2 (4550m),11.448,DENIED
487.2363333,5,Albon,DP2 (4550m),1.858,DENIED
488.2363333,5,Colapinto,DP1 (3510m),4.183,DENIED
489.7983333,6,Oscar Piastri,DP1 (3510m),0,DENIED
496.165,6,Lando Norris,DP1 (3510m),6.258,DENIED
496.7983333,5,Hulkenberg,DP2 (4550m),8.55,DENIED
496.8983333,5,Hadjar,DP2 (4550m),0.067,ELIGIBLE
498.265,5,Alonso,DP2 (4550m),1.09,DENIED
498.265,5,Stroll,DP2 (4550m),0.024,ELIGIBLE
498.365,5,Sainz,DP2 (4550m),0.042,ELIGIBLE
498.9316667,5,Lawson,DP2 (4550m),0.47,ELIGIBLE
499.3983333,5,Ocon,DP2 (4550m),0.392,ELIGIBLE
501.7316667,5,Yuki,DP2 (4550m),1.988,DENIED
501.8316667,5,Gasly,DP2 (4550m),0.071,ELIGIBLE
502.3983333,5,Bortoleto,DP2 (4550m),0.356,ELIGIBLE
502.565,5,Bearman,DP2 (4550m),0.185,ELIGIBLE
506.9316667,6,Verstappen,DP1 (3510m),11.056,DENIED
507.1316667,6,Oscar Piastri,DP2 (4550m),0,DENIED
507.4983333,5,Colapinto,DP2 (4550m),4.383,DENIED
512.965,6,Lando Norris,DP2 (4550m),5.771,DENIED
515.9316667,6,George Russell,DP1 (3510m),9.504,DENIED
522.528,6,Verstappen,DP2 (4550m),10.003,DENIED
531.328,6,Charles Leclerc,DP1 (3510m),16.252,DENIED
532.328,6,George Russell,DP2 (4550m),11.766,DENIED
543.3613333,6,Lewis Hamilton,DP1 (3510m),12.993,DENIED
547.391,6,Charles Leclerc,DP2 (4550m),15.613,DENIED
557.291,6,Antonelli,DP1 (3510m),13.516,DENIED
561.4243333,6,Lewis Hamilton,DP2 (4550m),14.888,DENIED
562.791,6,Albon,DP1 (3510m),5.3,DENIED
572.1243333,6,Hulkenberg,DP1 (3510m),8.312,DENIED
573.0243333,6,Sainz,DP1 (3510m),0.76,ELIGIBLE
573.3243333,6,Alonso,DP1 (3510m),0.233,ELIGIBLE
573.491,6,Hadjar,DP1 (3510m),0.15,ELIGIBLE
574.7576667,6,Bearman,DP1 (3510m),1.141,DENIED
574.9243333,6,Stroll,DP1 (3510m),0.146,ELIGIBLE
575.1576667,6,Antonelli,DP2 (4550m),12.874,DENIED
575.353,6,Lawson,DP1 (3510m),0.346,ELIGIBLE
575.653,6,Ocon,DP1 (3510m),0.145,ELIGIBLE
576.0863333,7,Lando Norris,DP1 (3510m),0,DENIED
576.1196667,6,Yuki,DP1 (3510m),0.322,ELIGIBLE
