time_sec,lap,driver,detection_point,gap_to_ahead,status
353.5186666666733,4,Lewis Hamilton,DP1 (3510m),5.24,DENIED
353.58533333334003,4,Verstappen,DP2 (4550m),16.24,DENIED
360.38533333334544,4,George Russell,DP2 (4550m),5.98,DENIED
367.01866666668406,4,Charles Leclerc,DP2 (4550m),5.215,DENIED
368.8853333333522,4,Antonelli,DP1 (3510m),11.73,DENIED
372.3186666666883,4,Albon,DP1 (3510m),2.455,DENIED
375.98166666666833,4,Lewis Hamilton,DP2 (4550m),8.067,DENIED
377.78166666666976,4,Hulkenberg,DP1 (3510m),4.429,DENIED
380.94833333333895,4,Ocon,DP1 (3510m),2.601,DENIED
382.44833333334014,4,Hadjar,DP1 (3510m),1.307,DENIED
382.61500000000694,4,Stroll,DP1 (3510m),0.08,ELIGIBLE
383.28166666667414,4,Gasly,DP1 (3510m),0.649,ELIGIBLE
383.44833333334094,4,Alonso,DP1 (3510m),0.106,ELIGIBLE
384.18166666667486,4,Lawson,DP1 (3510m),0.632,ELIGIBLE
384.381666666675,4,Sainz,DP1 (3510m),0.163,ELIGIBLE
386.2483333333432,4,Yuki,DP1 (3510m),1.519,DENIED
386.41500000001,4,Bortoleto,DP1 (3510m),0.141,ELIGIBLE
386.8483333333437,4,Bearman,DP1 (3510m),0.433,ELIGIBLE
389.3150000000123,4,Colapinto,DP1 (3510m),2.09,DENIED
390.1816666666796,4,Antonelli,DP2 (4550m),11.778,DENIED
393.181666666682,4,Albon,DP2 (4550m),2.45,DENIED
398.38166666668616,4,Hulkenberg,DP2 (4550m),4.369,DENIED
401.5816666666887,4,Ocon,DP2 (4550m),2.581,DENIED
402.0150000000224,4,Alonso,DP2 (4550m),0.338,ELIGIBLE
402.1483333333558,4,Stroll,DP2 (4550m),0.135,ELIGIBLE
403.14366666666706,4,Hadjar,DP2 (4550m),0.85,ELIGIBLE
403.510333333334,5,Oscar Piastri,DP1 (3510m),0.0,DENIED
403.91033333333434,4,Lawson,DP2 (4550m),0.67,ELIGIBLE
404.14366666666785,4,Gasly,DP2 (4550m),0.184,ELIGIBLE
405.24366666666873,4,Sainz,DP2 (4550m),0.855,ELIGIBLE
405.9103333333359,4,Bortoleto,DP2 (4550m),0.517,ELIGIBLE
406.84366666667,5,Lando Norris,DP1 (3510m),3.276,DENIED
407.1770000000036,4,Yuki,DP2 (4550m),0.965,ELIGIBLE
407.54366666667056,4,Bearman,DP2 (4550m),0.284,ELIGIBLE
410.643666666673,4,Colapinto,DP2 (4550m),2.569,DENIED
420.84366666668114,5,Oscar Piastri,DP2 (4550m),0.0,DENIED
429.21033333335447,5,Lando Norris,DP2 (4550m),8.381,DENIED
430.6770000000223,5,Verstappen,DP1 (3510m),18.364,DENIED
436.47333333333734,5,George Russell,DP1 (3510m),6.13,DENIED
445.240000000011,5,Charles Leclerc,DP1 (3510m),8.38,DENIED
446.67333333334545,5,Verstappen,DP2 (4550m),17.22,DENIED
454.5400000000184,5,George Russell,DP2 (4550m),8.536,DENIED
457.4400000000207,5,Lewis Hamilton,DP1 (3510m),11.89,DENIED
462.9363333333355,5,Charles Leclerc,DP2 (4550m),8.561,DENIED
469.9030000000077,5,Antonelli,DP1 (3510m),12.66,DENIED
470.0030000000078,5,Albon,DP1 (3510m),0.036,ELIGIBLE
474.43633333334463,5,Lewis Hamilton,DP2 (4550m),11.703,DENIED
478.56966666668126,5,Hulkenberg,DP1 (3510m),8.665,DENIED
478.83633333334814,5,Hadjar,DP1 (3510m),0.22,ELIGIBLE
479.8696666666823,5,Stroll,DP1 (3510m),1.109,DENIED
480.3696666666827,5,Alonso,DP1 (3510m),0.453,ELIGIBLE
480.9696666666832,5,Ocon,DP1 (3510m),0.463,ELIGIBLE
481.2030000000167,5,Lawson,DP1 (3510m),0.226,ELIGIBLE
481.2363333333501,5,Sainz,DP1 (3510m),0.245,ELIGIBLE
483.2030000000183,5,Gasly,DP1 (3510m),2.156,DENIED
483.4363333333518,5,Yuki,DP1 (3510m),0.15,ELIGIBLE
483.5696666666853,5,Bortoleto,DP1 (3510m),0.091,ELIGIBLE
484.103000000019,5,Bearman,DP1 (3510m),0.546,ELIGIBLE
485.5030000000201,5,Antonelli,DP2 (4550m),11.448,DENIED
487.2363333333548,5,Albon,DP2 (4550m),1.858,DENIED
488.2363333333556,5,Colapinto,DP1 (3510m),4.183,DENIED
489.798333333334,6,Oscar Piastri,DP1 (3510m),0.0,DENIED
496.1650000000057,6,Lando Norris,DP1 (3510m),6.258,DENIED
496.79833333333954,5,Hulkenberg,DP2 (4550m),8.55,DENIED
496.8983333333396,5,Hadjar,DP2 (4550m),0.067,ELIGIBLE
498.2650000000074,5,Alonso,DP2 (4550m),1.09,DENIED
498.2650000000074,5,Stroll,DP2 (4550m),0.024,ELIGIBLE
498.36500000000746,5,Sainz,DP2 (4550m),0.042,ELIGIBLE
498.9316666666746,5,Lawson,DP2 (4550m),0.47,ELIGIBLE
499.3983333333416,5,Ocon,DP2 (4550m),0.392,ELIGIBLE
501.7316666666768,5,Yuki,DP2 (4550m),1.988,DENIED
501.8316666666769,5,Gasly,DP2 (4550m),0.071,ELIGIBLE
502.398333333344,5,Bortoleto,DP2 (4550m),0.356,ELIGIBLE
502.5650000000108,5,Bearman,DP2 (4550m),0.185,ELIGIBLE
506.93166666668094,6,Verstappen,DP1 (3510m),11.056,DENIED
507.1316666666811,6,Oscar Piastri,DP2 (4550m),0.0,DENIED
507.49833333334806,5,Colapinto,DP2 (4550m),4.383,DENIED
512.965000000019,6,Lando Norris,DP2 (4550m),5.771,DENIED
515.9316666666881,6,George Russell,DP1 (3510m),9.504,DENIED
522.5279999999956,6,Verstappen,DP2 (4550m),10.003,DENIED
531.3279999999876,6,Charles Leclerc,DP1 (3510m),16.252,DENIED
532.3279999999867,6,George Russell,DP2 (4550m),11.766,DENIED
543.36133333331,6,Lewis Hamilton,DP1 (3510m),12.993,DENIED
547.3909999999992,6,Charles Leclerc,DP2 (4550m),15.613,DENIED
557.2909999999902,6,Antonelli,DP1 (3510m),13.516,DENIED
561.4243333333197,6,Lewis Hamilton,DP2 (4550m),14.888,DENIED
562.7909999999852,6,Albon,DP1 (3510m),5.3,DENIED
572.12433333331,6,Hulkenberg,DP1 (3510m),8.312,DENIED
573.0243333333092,6,Sainz,DP1 (3510m),0.76,ELIGIBLE
573.3243333333089,6,Alonso,DP1 (3510m),0.233,ELIGIBLE
573.4909999999754,6,Hadjar,DP1 (3510m),0.15,ELIGIBLE
574.757666666641,6,Bearman,DP1 (3510m),1.141,DENIED
574.9243333333075,6,Stroll,DP1 (3510m),0.146,ELIGIBLE
575.1576666666406,6,Antonelli,DP2 (4550m),12.874,DENIED
575.353,6,Lawson,DP1 (3510m),0.346,ELIGIBLE
575.6529999999997,6,Ocon,DP1 (3510m),0.145,ELIGIBLE
576.0863333333326,7,Lando Norris,DP1 (3510m),0.0,DENIED
576.1196666666659,6,Yuki,DP1 (3510m),0.322,ELIGIBLE
576.6863333333321,7,Oscar Piastri,DP1 (3510m),0.545,ELIGIBLE
579.0196666666633,6,Gasly,DP1 (3510m),1.998,DENIED
579.5196666666628,6,Bortoleto,DP1 (3510m),0.316,ELIGIBLE
584.0863333333253,6,Albon,DP2 (4550m),8.269,DENIED
586.5863333333231,6,Colapinto,DP1 (3510m),4.956,DENIED
586.8863333333228,7,Verstappen,DP1 (3510m),8.083,DENIED
593.4196666666502,7,Lando Norris,DP2 (4550m),0.0,DENIED
595.4196666666484,6,Hulkenberg,DP2 (4550m),7.916,DENIED
596.4529999999808,6,Hadjar,DP2 (4550m),0.635,ELIGIBLE
596.6529999999806,6,Alonso,DP2 (4550m),0.115,ELIGIBLE
597.1529999999801,6,Sainz,DP2 (4550m),0.317,ELIGIBLE
597.2863333333133,6,Bearman,DP2 (4550m),0.082,ELIGIBLE
598.2196666666458,6,Lawson,DP2 (4550m),0.791,ELIGIBLE
598.4529999999789,7,Oscar Piastri,DP2 (4550m),5.024,DENIED
599.4196666666447,6,Stroll,DP2 (4550m),0.8,ELIGIBLE
600.1863333333107,6,Ocon,DP2 (4550m),0.456,ELIGIBLE
600.7863333333102,6,Yuki,DP2 (4550m),0.486,ELIGIBLE
603.1529999999747,6,Gasly,DP2 (4550m),1.589,DENIED
604.1826666666665,6,Bortoleto,DP2 (4550m),0.782,ELIGIBLE
605.6493333333318,7,George Russell,DP1 (3510m),17.053,DENIED
605.8493333333316,7,Verstappen,DP2 (4550m),6.113,DENIED
609.082666666662,6,Colapinto,DP2 (4550m),4.918,DENIED
620.3159999999851,7,Charles Leclerc,DP1 (3510m),17.121,DENIED
620.415999999985,7,George Russell,DP2 (4550m),17.871,DENIED
636.8789999999963,7,Charles Leclerc,DP2 (4550m),18.197,DENIED
639.4456666666606,7,Lewis Hamilton,DP1 (3510m),19.584,DENIED
642.678999999991,7,Antonelli,DP1 (3510m),2.704,DENIED
660.1789999999751,7,Lewis Hamilton,DP2 (4550m),20.34,DENIED
660.8456666666411,7,Antonelli,DP2 (4550m),0.59,ELIGIBLE
662.3743333333326,8,Lando Norris,DP1 (3510m),0.0,DENIED
664.1076666666644,7,Albon,DP1 (3510m),20.112,DENIED
665.2409999999967,8,Verstappen,DP1 (3510m),2.79,DENIED
666.4076666666623,8,Oscar Piastri,DP1 (3510m),1.312,DENIED
666.7743333333286,7,Sainz,DP1 (3510m),2.322,DENIED
670.8743333333249,7,Alonso,DP1 (3510m),3.482,DENIED
671.1409999999913,7,Hulkenberg,DP1 (3510m),0.214,ELIGIBLE
671.3409999999911,7,Hadjar,DP1 (3510m),0.14,ELIGIBLE
673.740999999989,7,Bearman,DP1 (3510m),2.156,DENIED
674.6076666666548,7,Lawson,DP1 (3510m),0.726,ELIGIBLE
675.6743333333205,7,Ocon,DP1 (3510m),0.852,ELIGIBLE
676.3076666666533,7,Yuki,DP1 (3510m),0.559,ELIGIBLE
676.3743333333199,7,Stroll,DP1 (3510m),0.127,ELIGIBLE
679.5076666666504,7,Gasly,DP1 (3510m),2.729,DENIED
679.7076666666502,8,Lando Norris,DP2 (4550m),0.0,DENIED
680.4409999999829,7,Bortoleto,DP1 (3510m),0.77,ELIGIBLE
681.1076666666489,8,Verstappen,DP2 (4550m),1.253,DENIED
683.2743333333136,8,Oscar Piastri,DP2 (4550m),2.362,DENIED
684.0743333333129,7,Albon,DP2 (4550m),20.064,DENIED
686.1409999999777,7,Colapinto,DP1 (3510m),4.908,DENIED
686.7409999999771,7,Sainz,DP2 (4550m),2.276,DENIED
689.3409999999748,7,Alonso,DP2 (4550m),2.138,DENIED
689.5409999999746,8,George Russell,DP1 (3510m),23.685,DENIED
690.7373333333329,7,Hulkenberg,DP2 (4550m),1.307,DENIED
690.9039999999994,7,Hadjar,DP2 (4550m),0.166,ELIGIBLE
693.3706666666639,7,Bearman,DP2 (4550m),2.449,DENIED
694.1373333333298,7,Lawson,DP2 (4550m),0.784,ELIGIBLE
694.3039999999963,7,Ocon,DP2 (4550m),0.166,ELIGIBLE
695.4706666666619,7,Stroll,DP2 (4550m),1.142,DENIED
695.6373333333285,7,Yuki,DP2 (4550m),0.166,ELIGIBLE
698.337333333326,7,Gasly,DP2 (4550m),2.71,DENIED
699.1373333333253,7,Bortoleto,DP2 (4550m),0.784,ELIGIBLE
704.1039999999874,7,Colapinto,DP2 (4550m),4.969,DENIED
706.9706666666515,8,George Russell,DP2 (4550m),23.795,DENIED
709.8039999999822,8,Charles Leclerc,DP1 (3510m),20.133,DENIED
727.1039999999665,8,Charles Leclerc,DP2 (4550m),20.133,DENIED
732.2706666666285,8,Lewis Hamilton,DP1 (3510m),22.487,DENIED
733.8373333332937,8,Antonelli,DP1 (3510m),1.568,DENIED
749.5706666666127,8,Lewis Hamilton,DP2 (4550m),22.487,DENIED
